id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id2358953,2,2016-06-27 00:31:28,2016-06-27 01:06:44,1,-73.87081909179686,40.773738861083984,-73.85749816894531,41.0178108215332,N,2116
id0015493,1,2016-06-12 05:11:44,2016-06-12 05:52:35,1,-74.00548553466798,40.728618621826165,-73.64342498779298,40.67037963867188,N,2451
id1859156,1,2016-02-17 00:54:13,2016-02-17 01:36:27,3,-73.96925354003906,40.75404739379882,-73.5935821533203,41.04386520385742,N,2534
id3913560,2,2016-01-11 22:48:55,2016-01-11 23:40:20,2,-74.01265716552734,40.702178955078125,-74.3077621459961,40.56734085083008,N,3085
id2847779,2,2016-03-24 14:50:06,2016-03-24 15:44:16,1,-73.78839874267578,40.64215850830078,-73.75910186767578,40.94437026977539,N,3250
id3502250,1,2016-03-11 20:10:29,2016-03-11 20:51:41,1,-73.87459564208984,40.77408218383789,-73.61203765869139,40.65959548950195,N,2472
id1692209,1,2016-01-26 01:36:12,2016-01-26 02:32:24,1,-73.7795639038086,40.64692306518555,-74.2672576904297,40.806011199951165,N,3372
id0655400,2,2016-05-07 15:11:33,2016-05-07 16:03:34,1,-73.78868865966798,40.641986846923835,-73.8431396484375,40.94439315795898,N,3121
id0304778,1,2016-02-23 20:38:44,2016-02-23 21:19:17,1,-73.98292541503906,40.7618408203125,-74.37963104248048,40.74527359008789,N,2433
id1782120,2,2016-04-04 06:55:02,2016-04-04 08:08:03,2,-73.97667694091797,40.76507186889648,-73.65351104736328,40.62810897827149,N,4381
id3022813,1,2016-06-15 18:02:41,2016-06-15 18:03:18,1,-73.55828857421875,40.78122329711913,-73.55828094482422,40.781227111816406,N,37
id2894145,2,2016-06-30 06:27:14,2016-06-30 06:50:46,5,-73.78186798095702,40.64482116699219,-73.68654632568358,40.741790771484375,N,1412
id3732171,2,2016-01-29 01:58:53,2016-01-29 02:34:25,1,-73.97647094726561,40.75284957885742,-73.82814788818358,40.92599868774414,N,2132
id1092161,1,2016-04-15 22:35:08,2016-04-16 00:34:21,1,-73.78179168701173,40.644718170166016,-72.71139526367188,41.311519622802734,N,7153
id0633635,1,2016-03-02 13:47:18,2016-03-02 14:53:25,1,-73.99402618408203,40.715553283691406,-73.93074035644531,41.08654022216797,N,3967
id3770021,1,2016-02-17 18:59:56,2016-02-17 19:40:11,1,-73.86203765869139,40.76464080810546,-73.54215240478516,41.0522575378418,Y,2415
id3733479,2,2016-05-22 03:58:40,2016-05-22 03:59:02,1,-74.3470687866211,40.7085189819336,-74.3470687866211,40.70852279663086,N,22
id2286908,1,2016-06-01 23:54:19,2016-06-02 00:32:11,1,-73.86384582519531,40.769695281982415,-73.44394683837889,40.78232192993164,N,2272
id3092519,1,2016-03-15 18:34:52,2016-03-15 18:35:34,1,-73.6485595703125,40.657745361328125,-73.6485595703125,40.65774154663086,N,42
id2873438,2,2016-05-11 14:27:07,2016-05-11 15:23:57,1,-73.86388397216798,40.77007675170898,-73.5495834350586,40.90056610107422,N,3410
id0458883,2,2016-02-05 21:03:41,2016-02-05 21:38:28,1,-73.87315368652342,40.77407836914063,-73.83281707763672,41.05973052978516,N,2087
id3331331,2,2016-02-29 23:48:19,2016-03-01 00:21:28,1,-73.86299896240233,40.76871109008789,-73.60601806640625,40.85137939453125,N,1989
id2485138,1,2016-04-17 17:41:00,2016-04-17 18:58:44,1,-73.78887939453125,40.641361236572266,-73.83421325683594,41.06098556518555,N,4664
id3191447,1,2016-03-28 15:29:24,2016-03-28 16:23:50,1,-73.96251678466798,40.77482604980469,-73.6691665649414,40.99663925170898,N,3266
id2130388,2,2016-06-27 11:51:15,2016-06-27 12:09:55,1,-73.78246307373048,40.6445198059082,-73.68592071533203,40.68142318725586,N,1120
id1629558,2,2016-05-22 02:17:12,2016-05-22 02:17:20,2,-73.95509338378906,40.94266128540039,-73.95509338378906,40.94266128540039,N,8
id1899262,2,2016-02-26 18:42:29,2016-02-26 19:29:45,1,-73.88533020019531,40.77310180664063,-73.76041412353516,41.03637313842773,N,2836
id2185383,1,2016-01-24 13:10:30,2016-01-24 13:11:12,1,-73.51805114746092,41.09117126464844,-73.51805877685547,41.091167449951165,N,42
id3131125,1,2016-04-13 18:48:30,2016-04-13 19:25:28,1,-73.77679443359375,40.64532852172852,-73.60848999023438,40.74170303344727,N,2218
id2211191,1,2016-05-25 21:37:43,2016-05-25 22:23:16,1,-73.98114776611328,40.75884628295898,-73.86333465576173,41.07698822021485,N,2733
id0794168,1,2016-04-23 12:11:18,2016-04-23 12:54:29,1,-73.87098693847656,40.77365112304688,-73.68618774414062,40.99142074584961,N,2591
id1579722,2,2016-01-16 17:37:49,2016-01-16 18:39:13,1,-73.77679443359375,40.645469665527344,-73.8642349243164,41.023242950439446,N,3684
id0830331,2,2016-03-05 17:28:55,2016-03-05 18:04:12,1,-73.77684783935547,40.645214080810554,-73.48221588134764,40.79186630249024,N,2117
id0424969,1,2016-05-13 02:51:59,2016-05-13 03:22:12,1,-73.99651336669923,40.74790191650391,-74.25981903076173,40.831737518310554,N,1813
id2811309,1,2016-05-20 05:50:46,2016-05-20 06:56:33,1,-73.8177490234375,40.705432891845696,-74.286865234375,40.830463409423835,N,3947
id0356231,2,2016-03-16 21:56:13,2016-03-16 22:37:56,1,-73.78113555908203,40.64492034912109,-73.44390106201173,40.78230667114258,N,2503
id1770451,1,2016-05-17 19:34:20,2016-05-17 20:07:57,1,-73.9746551513672,40.75066757202149,-73.82422637939453,40.92325210571289,N,2017
id2700498,2,2016-01-18 18:19:50,2016-01-18 18:20:06,1,-74.3935546875,40.78560256958008,-74.39851379394531,40.78182220458984,N,16
id3651786,2,2016-05-03 00:32:41,2016-05-03 01:02:15,1,-73.77680969238281,40.64551162719727,-73.65338897705078,40.58771133422852,N,1774
id3882314,1,2016-01-19 08:39:06,2016-01-19 08:40:27,1,-74.28901672363281,40.575092315673835,-74.28901672363281,40.5750846862793,N,81
id0096723,2,2016-02-09 02:48:50,2016-02-09 03:12:38,1,-73.97124481201173,40.75506591796875,-73.84214782714844,40.92818069458008,N,1428
id0738766,2,2016-05-16 20:55:52,2016-05-16 21:31:59,1,-73.8639373779297,40.77014923095703,-73.718017578125,41.016849517822266,N,2167
id0367149,2,2016-01-09 14:58:08,2016-01-09 15:13:20,1,-74.07962036132812,40.44974899291992,-74.06226348876953,40.44469833374024,N,912
id0140495,2,2016-01-14 02:34:23,2016-01-14 02:55:16,1,-73.9300537109375,40.80242156982422,-73.76283264160156,40.919971466064446,N,1253
id1792628,1,2016-03-07 10:49:49,2016-03-07 10:50:20,1,-73.76675415039062,41.0322380065918,-73.76675415039062,41.0322380065918,N,31
id3246710,2,2016-01-11 19:45:16,2016-01-11 20:22:42,1,-73.8641128540039,40.769866943359375,-73.42462921142578,40.76357269287109,N,2246
id3294370,1,2016-06-14 06:17:32,2016-06-14 06:39:20,2,-73.78224182128906,40.6446647644043,-73.68045806884764,40.6450080871582,N,1308
id3587163,1,2016-05-07 22:00:28,2016-05-07 22:00:56,1,-74.31734466552734,40.64852142333984,-74.31734466552734,40.64852142333984,N,28
id3908409,2,2016-06-21 14:07:21,2016-06-21 14:39:32,1,-73.87335968017578,40.77088928222656,-73.8241195678711,40.9434700012207,N,1931
id2676341,2,2016-03-18 23:30:52,2016-03-18 23:48:58,1,-73.77680206298828,40.645301818847656,-73.6893081665039,40.65117645263672,N,1086
id0800130,2,2016-03-21 17:01:04,2016-03-21 17:01:33,1,-73.80429077148438,41.002628326416016,-73.80428314208984,41.00254821777344,N,29
id0465559,1,2016-03-04 23:40:13,2016-03-04 23:41:08,1,-74.01116180419923,40.976539611816406,-74.01116180419923,40.976539611816406,N,55
id1691629,2,2016-06-10 15:13:28,2016-06-10 16:44:31,6,-73.86289215087889,40.76866149902344,-73.87904357910156,40.97322082519531,N,5463
id3178251,2,2016-04-27 23:30:59,2016-04-28 00:04:59,1,-73.99346923828125,40.75724029541016,-74.32151794433594,40.77914810180664,N,2040
id2551778,2,2016-04-04 18:10:11,2016-04-04 19:15:59,1,-73.78903198242188,40.64154052734375,-73.42503356933594,40.763450622558594,N,3948
id1342718,1,2016-06-01 18:01:45,2016-06-01 18:02:36,1,-73.6317138671875,40.6404685974121,-73.63390350341797,40.64255142211913,N,51
id0606515,1,2016-02-17 01:27:19,2016-02-17 01:50:24,1,-73.79144287109375,40.64619827270508,-73.65061950683594,40.7216911315918,N,1385
id2959610,2,2016-02-05 08:23:50,2016-02-05 09:06:57,1,-73.87045288085938,40.77352142333984,-73.61029815673827,40.67082977294922,N,2587
id0240882,1,2016-03-11 11:09:48,2016-03-11 12:36:54,1,-73.68880462646483,41.00600051879882,-74.00575256347656,40.72550964355469,N,5226
id1124670,2,2016-06-17 01:53:41,2016-06-17 02:58:19,1,-73.8719711303711,40.74151992797852,-73.67474365234375,40.75368881225586,N,3878
id2623995,1,2016-03-11 02:12:25,2016-03-11 02:13:15,2,-74.45555877685547,40.8411979675293,-74.45555877685547,40.8411979675293,N,50
id1718992,1,2016-04-03 05:11:20,2016-04-03 05:11:49,2,-73.77347564697266,41.0391845703125,-73.77347564697266,41.039180755615234,N,29
id1807865,2,2016-02-11 22:02:10,2016-02-11 23:00:00,1,-73.98676300048828,40.76140975952149,-73.64256286621092,40.73974609375,N,3470
id1725649,1,2016-03-15 09:23:41,2016-03-15 09:23:45,1,-74.53387451171875,40.72519302368164,-74.53385925292967,40.725189208984375,N,4
id2985010,1,2016-02-08 10:18:29,2016-02-08 10:20:56,1,-73.64878845214845,41.01676940917969,-73.6472396850586,41.019657135009766,N,147
id2255271,2,2016-01-16 10:03:02,2016-01-16 10:12:44,1,-74.06973266601561,40.433841705322266,-74.0821533203125,40.4416618347168,N,582
id0098463,1,2016-03-30 19:32:16,2016-03-30 20:25:26,2,-74.12672424316406,41.31916427612305,-73.93511962890625,40.82966613769531,N,3190
id3132184,1,2016-02-07 02:33:33,2016-02-07 03:09:25,1,-73.98346710205078,40.76596450805664,-73.83477783203125,40.955848693847656,N,2152
id2164084,1,2016-02-17 09:39:47,2016-02-17 10:50:38,1,-73.85388946533203,40.73728561401367,-74.35919189453125,40.81526184082031,Y,4251
id0526741,2,2016-06-09 15:40:59,2016-06-09 16:35:54,1,-73.78193664550781,40.644622802734375,-73.62006378173827,40.74888610839844,N,3295
id0895543,1,2016-04-23 11:48:49,2016-04-23 12:22:27,1,-73.88530731201173,40.77301406860352,-73.86538696289062,40.928340911865234,N,2018
id2924937,2,2016-03-11 10:42:52,2016-03-11 11:15:31,2,-73.86358642578125,40.768569946289055,-73.56568145751953,40.709449768066406,N,1959
id1707579,2,2016-01-19 22:01:49,2016-01-19 22:17:12,1,-73.78180694580078,40.64468765258789,-73.65800476074217,40.654518127441406,N,923
id3248847,1,2016-06-23 22:38:10,2016-06-23 23:07:38,1,-73.86519622802734,40.77071380615234,-73.69278717041014,40.837379455566406,N,1768
id1755823,1,2016-03-16 23:20:46,2016-03-16 23:51:54,1,-73.86336517333984,40.7690544128418,-73.90206909179686,40.923370361328125,N,1868
id1607279,1,2016-01-16 07:52:46,2016-01-16 07:57:07,1,-73.33402252197266,40.71603012084961,-73.33402252197266,40.71603012084961,N,261
id3436887,1,2016-03-28 22:22:04,2016-03-28 22:44:31,1,-73.87088775634764,40.77374267578125,-73.652587890625,40.747268676757805,N,1347
id1506893,2,2016-06-10 02:35:15,2016-06-10 03:23:09,2,-73.96406555175781,40.76106262207031,-74.40645599365233,40.69973373413086,N,2874
id1828952,2,2016-01-25 00:36:34,2016-01-25 01:52:09,1,-73.7982177734375,40.64506149291992,-74.5623550415039,40.62926864624024,N,4535
id3548013,1,2016-01-10 13:30:32,2016-01-10 13:55:54,1,-73.86386108398438,40.769996643066406,-73.75140380859375,40.93108367919922,N,1522
id0001429,1,2016-05-09 15:08:28,2016-05-09 15:11:35,1,-73.42497253417967,40.77986907958984,-73.4215316772461,40.7838134765625,N,187
id2880138,2,2016-02-15 23:26:53,2016-02-16 00:14:19,5,-73.79039001464844,40.64661407470703,-73.68894958496092,41.044788360595696,N,2846
id1314421,1,2016-06-27 13:12:23,2016-06-27 14:01:34,1,-73.78980255126953,40.646915435791016,-73.7560043334961,40.93117141723633,N,2951
id2221135,2,2016-05-19 16:02:22,2016-05-19 16:49:35,1,-73.77687072753906,40.64520263671875,-73.67015838623048,40.65360641479492,N,2833
id3947301,1,2016-06-10 20:23:46,2016-06-10 21:13:40,1,-73.8730239868164,40.77406311035156,-73.64970397949217,40.58346557617188,N,2994
id3533295,1,2016-04-10 02:36:53,2016-04-10 02:37:16,1,-73.65316009521484,40.633602142333984,-73.65316009521484,40.63360595703125,N,23
id1447975,2,2016-04-18 08:35:42,2016-04-18 09:38:18,5,-73.96543121337889,40.67419052124024,-73.8717269897461,40.970020294189446,N,3756
id3300285,1,2016-06-22 13:50:12,2016-06-22 14:44:53,1,-73.78706359863281,40.64167022705078,-73.19326782226561,40.80948638916016,N,3281
id2082065,2,2016-06-27 17:39:27,2016-06-27 18:19:15,1,-73.86356353759764,40.76961898803711,-73.8458480834961,40.94725799560546,N,2388
id1714140,1,2016-04-27 22:32:57,2016-04-27 23:14:37,1,-74.00754547119139,40.741992950439446,-73.76338195800781,40.921199798583984,N,2500
id0495486,1,2016-02-14 12:49:33,2016-02-14 13:28:35,1,-73.78951263427734,40.64363479614258,-73.4222640991211,40.78390884399414,N,2342
id3687220,1,2016-01-01 22:57:31,2016-01-01 23:52:54,3,-73.78256225585938,40.64451217651367,-74.17629241943358,40.9538459777832,N,3323
id0339742,1,2016-03-08 23:37:14,2016-03-08 23:37:59,1,-73.60162353515625,41.02950668334961,-73.60162353515625,41.02950668334961,N,45
id3090598,1,2016-06-09 01:04:20,2016-06-09 01:05:07,1,-74.16899108886719,40.9761848449707,-74.16899108886719,40.9761848449707,Y,47
id0233910,2,2016-01-18 07:49:12,2016-01-18 08:31:23,1,-73.77729797363281,40.6466178894043,-73.60839080810547,40.860626220703125,N,2531
id2888107,2,2016-01-05 11:25:56,2016-01-05 11:58:27,1,-73.8303985595703,40.80321502685546,-73.54256439208984,41.0461311340332,N,1951
id3255217,2,2016-01-28 21:10:51,2016-01-28 22:00:47,1,-73.99927520751953,40.733497619628906,-73.5863037109375,40.75405883789063,N,2996
id0438271,2,2016-04-19 17:24:30,2016-04-19 18:30:43,1,-73.7767105102539,40.64542007446289,-73.86402130126953,40.935245513916016,N,3973
id0024311,2,2016-05-29 17:06:04,2016-05-29 17:22:20,2,-73.75463104248048,40.66579055786133,-73.62435150146483,40.65085983276367,N,976
id0158736,2,2016-04-18 10:09:37,2016-04-18 10:48:52,1,-73.87887573242188,40.77091217041016,-73.71112060546875,41.01726150512695,N,2355
id1269265,1,2016-02-10 14:40:00,2016-02-10 15:29:15,1,-74.00845336914062,40.71421813964844,-74.30406188964845,40.55482482910156,N,2955
id3747002,2,2016-06-20 00:28:43,2016-06-20 00:48:30,5,-73.7900161743164,40.647266387939446,-73.61029052734375,40.69701766967773,N,1187
id0147490,1,2016-03-16 10:07:11,2016-03-16 11:27:14,1,-73.98604583740233,40.7612533569336,-73.4283676147461,40.86968612670898,N,4803
id0423267,1,2016-01-25 18:42:09,2016-01-25 18:42:17,1,-73.44392395019531,40.78228378295898,-73.44392395019531,40.78228378295898,N,8
id0266546,2,2016-02-13 20:48:12,2016-02-13 21:22:21,2,-74.00567626953125,40.726505279541016,-73.86624145507811,40.92018508911133,N,2049
id3834398,1,2016-05-12 15:13:19,2016-05-12 16:07:22,1,-73.78360748291014,40.648681640625,-73.79080963134764,40.95395278930664,N,3243
id3329247,1,2016-05-17 21:45:02,2016-05-17 22:43:51,2,-73.97905731201173,40.76491165161133,-73.72071075439453,40.97332382202149,N,3529
id3843001,2,2016-05-28 21:07:58,2016-05-28 21:08:11,1,-74.35002136230467,40.54919052124024,-74.35002136230467,40.54917907714844,N,13
id2000225,2,2016-01-15 20:25:02,2016-01-15 21:10:39,1,-73.8631820678711,40.76941680908203,-73.84963989257811,41.1811408996582,N,2737
id2331972,2,2016-02-09 12:14:45,2016-02-09 12:14:49,1,-73.41297912597656,40.734161376953125,-73.41297912597656,40.734161376953125,N,4
id2791549,1,2016-03-21 14:52:01,2016-03-21 14:53:45,1,-73.53921508789062,41.05020904541016,-73.53922271728516,41.050174713134766,N,104
id0405561,2,2016-03-26 12:21:27,2016-03-26 12:51:37,1,-73.79051971435547,40.64410018920898,-73.67037963867188,40.72674179077149,N,1810
id0479538,1,2016-01-02 20:50:36,2016-01-02 22:18:34,1,-73.7898712158203,40.64340972900391,-73.6842498779297,41.334739685058594,N,5278
id2583138,2,2016-03-21 22:32:33,2016-03-21 23:18:58,1,-73.97125244140625,40.75504302978516,-73.68802642822266,40.82998275756836,N,2785
id0203044,2,2016-04-11 21:30:44,2016-04-11 22:21:05,1,-74.00201416015625,40.70905685424805,-73.530029296875,40.66738128662109,N,3021
id2868671,2,2016-02-17 00:10:47,2016-02-17 00:12:08,2,-73.69087982177734,40.585086822509766,-73.69087982177734,40.585086822509766,N,81
id0354218,1,2016-03-06 09:31:48,2016-03-06 10:04:04,1,-73.99758148193358,40.753730773925774,-73.86511993408203,40.91999816894531,N,1936
id1311087,1,2016-02-29 12:16:29,2016-02-29 18:47:09,3,-75.45591735839844,39.803932189941406,-73.7960205078125,40.70772552490234,N,23440
id3809655,2,2016-06-06 04:57:41,2016-06-06 05:32:36,1,-73.78180694580078,40.64485549926758,-73.57898712158203,40.8281364440918,N,2095
id3177399,2,2016-01-07 18:26:46,2016-01-07 19:24:55,1,-73.8670196533203,40.77081298828125,-73.45597076416014,40.881290435791016,N,3489
id2979663,1,2016-04-04 17:48:04,2016-04-04 18:28:24,3,-73.78186798095702,40.644901275634766,-73.67728424072266,40.67786407470703,N,2420
id1654405,2,2016-06-25 21:57:06,2016-06-25 22:45:36,1,-73.79588317871094,40.64466094970703,-73.88809204101561,40.97262954711913,N,2910
id3170094,1,2016-01-05 07:48:08,2016-01-05 08:42:29,1,-74.00028228759764,40.711132049560554,-73.90019226074217,40.93667984008789,N,3261
id1345848,1,2016-05-10 20:10:07,2016-05-10 20:45:53,1,-73.78186798095702,40.64469146728516,-73.4218521118164,40.78375625610352,N,2146
id1119423,2,2016-03-24 22:35:52,2016-03-24 23:23:38,1,-73.99075317382812,40.72595977783203,-73.55616760253906,40.65134811401367,N,2866
id3715724,2,2016-03-14 13:22:54,2016-03-14 14:17:15,1,-73.86495971679686,40.77022933959961,-74.22663116455078,40.96163940429688,N,3261
id2790481,1,2016-03-11 17:33:55,2016-03-11 17:38:34,1,-73.7904281616211,40.92367935180664,-73.79690551757811,40.93450927734375,N,279
id1935619,2,2016-03-10 18:39:24,2016-03-10 19:23:05,1,-73.87362670898438,40.77391815185546,-73.62989044189453,41.034549713134766,N,2621
id3848011,2,2016-06-20 07:23:08,2016-06-20 07:54:21,1,-73.7791976928711,40.64759826660156,-73.64804077148438,40.68199157714844,N,1873
id2609192,2,2016-05-20 07:46:36,2016-05-20 08:25:32,1,-73.77667999267578,40.64533996582031,-73.69867706298828,40.79505920410156,N,2336
id2857145,2,2016-03-13 07:25:48,2016-03-13 07:46:36,1,-73.8499984741211,40.68834686279297,-73.69928741455078,40.679046630859375,N,1248
id1347863,2,2016-03-18 14:46:28,2016-03-18 16:06:26,1,-73.97578430175781,40.74643707275391,-73.50126647949219,40.82630157470703,N,4798
id0205360,1,2016-01-25 19:25:23,2016-01-25 19:31:10,1,-73.57742309570312,40.722755432128906,-73.57485961914062,40.72259521484375,N,347
id2427979,2,2016-06-05 18:18:39,2016-06-05 19:04:29,5,-73.77671813964845,40.64532852172852,-73.7591323852539,40.940383911132805,N,2750
